Entity,Code,Year,Total_GreenBeans_Tonnes
Malawi,MWI,2007,1403
Malaysia,MYS,2007,21213
Melanesia,OWID_MNS,2007,58131.32
Mexico,MEX,2007,268565
Middle Africa (FAO),,2007,101190.55
Mozambique,MOZ,2007,720
Myanmar,MMR,2007,5900
Nepal,NPL,2007,460
Net Food Importing Developing Countries (FAO),,2007,1761137.8
New Caledonia,NCL,2007,21
Nicaragua,NIC,2007,100000
Nigeria,NGA,2007,2520
North America,,2007,1212133.4
Northern America (FAO),,2007,3400
Oceania,,2007,58173.59
Oceania (FAO),,2007,58173.59
Panama,PAN,2007,13790
Papua New Guinea,PNG,2007,58080
Paraguay,PRY,2007,3100
Peru,PER,2007,225992
Philippines,PHL,2007,97877
Polynesia,OWID_PYA,2007,42.26
Puerto Rico,PRI,2007,6833.48
Rwanda,RWA,2007,14683
Saint Vincent and the Grenadines,VCT,2007,180
Samoa,WSM,2007,8
Sao Tome and Principe,STP,2007,22.96
Sierra Leone,SLE,2007,21000
Small Island Developing States (FAO),,2007,196856.8
South America,,2007,3371683
South America (FAO),,2007,3371683
South-eastern Asia (FAO),,2007,2155645
Southern Asia (FAO),,2007,294510
Sri Lanka,LKA,2007,6050
Suriname,SUR,2007,10
Taiwan,TWN,2007,0
Tanzania,TZA,2007,48869
Thailand,THA,2007,55660
Togo,TGO,2007,9300
Tonga,TON,2007,17.12
Trinidad and Tobago,TTO,2007,60
Uganda,UGA,2007,175346
United States,USA,2007,3400
Upper-middle-income countries,,2007,4811791.5
Vanuatu,VUT,2007,15.57
Venezuela,VEN,2007,70311
Vietnam,VNM,2007,1251000
Western Africa (FAO),,2007,235325
Western Asia (FAO),,2007,18330
World,OWID_WRL,2007,8134626
Yemen,YEM,2007,18330
Zambia,ZMB,2007,3431.84
Zimbabwe,ZWE,2007,1860
Africa,,2008,1079877.6
Africa (FAO),,2008,1079877.6
Americas (FAO),,2008,5043730
Angola,AGO,2008,4000
Asia,,2008,2304398
Asia (FAO),,2008,2304398
Belize,BLZ,2008,90
Benin,BEN,2008,70.43
Bolivia,BOL,2008,27305
Brazil,BRA,2008,2796927
Burundi,BDI,2008,100475
Cambodia,KHM,2008,330
Cameroon,CMR,2008,50687
Caribbean (FAO),,2008,92867.68
Central African Republic,CAF,2008,3300
Central America (FAO),,2008,1055361.4
China,CHN,2008,33278
China (FAO),,2008,33278
Colombia,COL,2008,688680
Comoros,COM,2008,122.62
Congo,COG,2008,2400
Cook Islands,COK,2008,0.12
Costa Rica,CRI,2008,111959
Cote d'Ivoire,CIV,2008,173118
Cuba,CUB,2008,6240
Democratic Republic of Congo,COD,2008,31900
Dominica,DMA,2008,67
Dominican Republic,DOM,2008,35582.42
East Timor,TLS,2008,14009
Eastern Africa (FAO),,2008,745240.7
Eastern Asia (FAO),,2008,33278
Ecuador,ECU,2008,32096
El Salvador,SLV,2008,97727
Equatorial Guinea,GNQ,2008,4299.55
Ethiopia,ETH,2008,260239
Fiji,FJI,2008,14.85
French Polynesia,PYF,2008,16
Gabon,GAB,2008,125.99
Ghana,GHA,2008,1620
Guatemala,GTM,2008,254914.38
Guinea,GIN,2008,27353
Guyana,GUY,2008,480
Haiti,HTI,2008,35000
High-income countries,,2008,136505.27
Honduras,HND,2008,240948
India,IND,2008,262000
Indonesia,IDN,2008,698016
Jamaica,JAM,2008,9035
Kenya,KEN,2008,42000
Land Locked Developing Countries (FAO),,2008,672673.06
Laos,LAO,2008,38985
Least Developed Countries (FAO),,2008,915099.06
Liberia,LBR,2008,2400
Low Income Food Deficit Countries (FAO),,2008,1017375
Low-income countries,,2008,738725
Lower-middle-income countries,,2008,2277233
Madagascar,MDG,2008,56978
Malawi,MWI,2008,1122
Malaysia,MYS,2008,23061
Melanesia,OWID_MNS,2008,61742.85
Mexico,MEX,2008,260442
Middle Africa (FAO),,2008,96732.48
Mozambique,MOZ,2008,730
Myanmar,MMR,2008,6300
Nepal,NPL,2008,500
Net Food Importing Developing Countries (FAO),,2008,1871457.4
New Caledonia,NCL,2008,33
Nicaragua,NIC,2008,75957
Nigeria,NGA,2008,3000
North America,,2008,1152179
Northern America (FAO),,2008,3950
Oceania,,2008,61783.86
Oceania (FAO),,2008,61783.86
Panama,PAN,2008,13324
Papua New Guinea,PNG,2008,61680
Paraguay,PRY,2008,273
Peru,PER,2008,273780
Philippines,PHL,2008,97428
Polynesia,OWID_PYA,2008,41.01
Puerto Rico,PRI,2008,6683.26
Rwanda,RWA,2008,20724
Saint Vincent and the Grenadines,VCT,2008,200
Samoa,WSM,2008,8
Sao Tome and Principe,STP,2008,19.95
Sierra Leone,SLE,2008,21200
Small Island Developing States (FAO),,2008,169383.11
South America,,2008,3891551
South America (FAO),,2008,3891551
South-eastern Asia (FAO),,2008,1984382
Southern Asia (FAO),,2008,267950
Sri Lanka,LKA,2008,5450
Suriname,SUR,2008,10
Taiwan,TWN,2008,0
Tanzania,TZA,2008,43100
Thailand,THA,2008,50442
Togo,TGO,2008,9143
Tonga,TON,2008,16.89
Trinidad and Tobago,TTO,2008,60
Uganda,UGA,2008,211726
United States,USA,2008,3950
Upper-middle-income countries,,2008,5337326
Vanuatu,VUT,2008,15
Venezuela,VEN,2008,72000
Vietnam,VNM,2008,1055811
Western Africa (FAO),,2008,237904.44
Western Asia (FAO),,2008,18788
World,OWID_WRL,2008,8489790
Yemen,YEM,2008,18788
Zambia,ZMB,2008,6584.09
Zimbabwe,ZWE,2008,1440
Africa,,2009,1002789.75
Africa (FAO),,2009,1002789.75
Americas (FAO),,2009,4384681.5
Angola,AGO,2009,11982
Asia,,2009,2330024.5
Asia (FAO),,2009,2330024.5
Belize,BLZ,2009,105.19
Benin,BEN,2009,67.34
Bolivia,BOL,2009,28270
Brazil,BRA,2009,2440056
Burundi,BDI,2009,20517
Cambodia,KHM,2009,350
Cameroon,CMR,2009,48123
Caribbean (FAO),,2009,86152.29
Central African Republic,CAF,2009,3544
Central America (FAO),,2009,1016527.44
China,CHN,2009,70405
China (FAO),,2009,70405
Colombia,COL,2009,468720
Comoros,COM,2009,124.24
Congo,COG,2009,2700
Cook Islands,COK,2009,0.37
Costa Rica,CRI,2009,91403
Cote d'Ivoire,CIV,2009,142945
Cuba,CUB,2009,7980
Democratic Republic of Congo,COD,2009,31870
Dominica,DMA,2009,58
Dominican Republic,DOM,2009,37950
East Timor,TLS,2009,10122
Eastern Africa (FAO),,2009,689844.75
Eastern Asia (FAO),,2009,70405
Ecuador,ECU,2009,33624
El Salvador,SLV,2009,76591
Equatorial Guinea,GNQ,2009,4000
Ethiopia,ETH,2009,265469
Fiji,FJI,2009,15
French Polynesia,PYF,2009,17.69
Gabon,GAB,2009,122.8
Ghana,GHA,2009,1860
Guatemala,GTM,2009,247502.69
Guinea,GIN,2009,28173
Guyana,GUY,2009,420
Haiti,HTI,2009,21022
High-income countries,,2009,115226.98
Honduras,HND,2009,231288
India,IND,2009,262300
Indonesia,IDN,2009,682591
Jamaica,JAM,2009,12456
Kenya,KEN,2009,54000
Land Locked Developing Countries (FAO),,2009,593537.5
Laos,LAO,2009,46035
Least Developed Countries (FAO),,2009,849460
Liberia,LBR,2009,1800
Low Income Food Deficit Countries (FAO),,2009,965117.94
Low-income countries,,2009,654807.9
Lower-middle-income countries,,2009,2281280.8
Madagascar,MDG,2009,57491
Malawi,MWI,2009,5510
Malaysia,MYS,2009,16332
Melanesia,OWID_MNS,2009,60279.38
Mexico,MEX,2009,264472
Middle Africa (FAO),,2009,102359.69
Mozambique,MOZ,2009,740
Myanmar,MMR,2009,7000
Nepal,NPL,2009,268
Net Food Importing Developing Countries (FAO),,2009,1725306.5
New Caledonia,NCL,2009,9
Nicaragua,NIC,2009,92204.55
Nigeria,NGA,2009,2040
North America,,2009,1106629.8
Northern America (FAO),,2009,3950
Oceania,,2009,60322.09
Oceania (FAO),,2009,60322.09
Panama,PAN,2009,12961
Papua New Guinea,PNG,2009,60240
Paraguay,PRY,2009,281
Peru,PER,2009,243479
Philippines,PHL,2009,96433
Polynesia,OWID_PYA,2009,42.71
Puerto Rico,PRI,2009,6337.28
Rwanda,RWA,2009,19371.89
Saint Vincent and the Grenadines,VCT,2009,220
Samoa,WSM,2009,8
Sao Tome and Principe,STP,2009,17.9
Sierra Leone,SLE,2009,22000
Small Island Developing States (FAO),,2009,157272.7
South America,,2009,3278052
South America (FAO),,2009,3278052
South-eastern Asia (FAO),,2009,1972717.6
Southern Asia (FAO),,2009,267978
Sri Lanka,LKA,2009,5410
Suriname,SUR,2009,9
Taiwan,TWN,2009,0
Tanzania,TZA,2009,62350
Thailand,THA,2009,56315
Togo,TGO,2009,11700
Tonga,TON,2009,16.65
Trinidad and Tobago,TTO,2009,129.01
Uganda,UGA,2009,195871
United States,USA,2009,3950
Upper-middle-income countries,,2009,4726502.5
Vanuatu,VUT,2009,15.38
Venezuela,VEN,2009,63193
Vietnam,VNM,2009,1057539.6
Western Africa (FAO),,2009,210585.34
Western Asia (FAO),,2009,18924
World,OWID_WRL,2009,7777818
Yemen,YEM,2009,18924
Zambia,ZMB,2009,7140.61
Zimbabwe,ZWE,2009,1260
Africa,,2010,1086196.2
Africa (FAO),,2010,1086196.2
Americas (FAO),,2010,4942636.5
Angola,AGO,2010,9951
Asia,,2010,2379412.2
Asia (FAO),,2010,2379412.2
Belize,BLZ,2010,90.46
Benin,BEN,2010,60
Bolivia,BOL,2010,27327.02
Brazil,BRA,2010,2907265
Burundi,BDI,2010,89960
Cambodia,KHM,2010,362.29
Cameroon,CMR,2010,66584
Caribbean (FAO),,2010,66749.06
Central African Republic,CAF,2010,5270
Central America (FAO),,2010,1033490.2
China,CHN,2010,49596
China (FAO),,2010,49596
Colombia,COL,2010,535380
Comoros,COM,2010,125.78
Congo,COG,2010,2826.61
Cook Islands,COK,2010,0.35
Costa Rica,CRI,2010,91620
Cote d'Ivoire,CIV,2010,94372
Cuba,CUB,2010,8430
Democratic Republic of Congo,COD,2010,31840
Dominica,DMA,2010,45
Dominican Republic,DOM,2010,21876
East Timor,TLS,2010,12653
Eastern Africa (FAO),,2010,800056.75
Eastern Asia (FAO),,2010,49596
Ecuador,ECU,2010,31347
El Salvador,SLV,2010,112636
Equatorial Guinea,GNQ,2010,4250.71
Ethiopia,ETH,2010,370569
Fiji,FJI,2010,15.15
French Polynesia,PYF,2010,18.11
Gabon,GAB,2010,121.76
Ghana,GHA,2010,1200
Guatemala,GTM,2010,248355.44
Guinea,GIN,2010,29018
Guyana,GUY,2010,420
Haiti,HTI,2010,20968
High-income countries,,2010,114640.6
Honduras,HND,2010,244335
India,IND,2010,289600
Indonesia,IDN,2010,684076
Jamaica,JAM,2010,9121
Kenya,KEN,2010,42000
Land Locked Developing Countries (FAO),,2010,738547
Laos,LAO,2010,46290
Least Developed Countries (FAO),,2010,978750.5
Liberia,LBR,2010,600
Low Income Food Deficit Countries (FAO),,2010,1085526.1
Low-income countries,,2010,804309.3
Lower-middle-income countries,,2010,2282109.5
Madagascar,MDG,2010,58178
Malawi,MWI,2010,4176
Malaysia,MYS,2010,15768
Melanesia,OWID_MNS,2010,52263.62
Mexico,MEX,2010,245271
Middle Africa (FAO),,2010,120859.24
Mozambique,MOZ,2010,770
Myanmar,MMR,2010,7300
Nepal,NPL,2010,307
Net Food Importing Developing Countries (FAO),,2010,1853496.5
New Caledonia,NCL,2010,13
Nicaragua,NIC,2010,78712.27
Nigeria,NGA,2010,2400
North America,,2010,1104229.2
Northern America (FAO),,2010,3990
Oceania,,2010,52308.44
Oceania (FAO),,2010,52308.43
Panama,PAN,2010,12470
Papua New Guinea,PNG,2010,52220
Paraguay,PRY,2010,370
Peru,PER,2010,264605
Philippines,PHL,2010,94536
Polynesia,OWID_PYA,2010,44.81
Puerto Rico,PRI,2010,6058.22
Rwanda,RWA,2010,19319
Saint Vincent and the Grenadines,VCT,2010,199.57
Samoa,WSM,2010,10
Sao Tome and Principe,STP,2010,15.17
Sierra Leone,SLE,2010,26130.3
Small Island Developing States (FAO),,2010,132368.31
South America,,2010,3838407.5
South America (FAO),,2010,3838407.5
South-eastern Asia (FAO),,2010,2015640.2
Southern Asia (FAO),,2010,295147
Sri Lanka,LKA,2010,5240
Suriname,SUR,2010,6.41
Taiwan,TWN,2010,0
Tanzania,TZA,2010,40000
Thailand,THA,2010,48955
Togo,TGO,2010,11500
Tonga,TON,2010,16.36
Trinidad and Tobago,TTO,2010,51.27
Uganda,UGA,2010,166968
United States,USA,2010,3990
Upper-middle-income countries,,2010,5259494
Vanuatu,VUT,2010,15.47
Venezuela,VEN,2010,71687
Vietnam,VNM,2010,1105700
Western Africa (FAO),,2010,165280.3
Western Asia (FAO),,2010,19029
World,OWID_WRL,2010,8460554
Yemen,YEM,2010,19029
Zambia,ZMB,2010,7390.95
Zimbabwe,ZWE,2010,600
Africa,,2011,988470.75
Africa (FAO),,2011,988470.75
Americas (FAO),,2011,4774524
Angola,AGO,2011,10192
Asia,,2011,2521749.8
Asia (FAO),,2011,2521749.8
Belize,BLZ,2011,90.68
Benin,BEN,2011,65
Bolivia,BOL,2011,27596.4
Brazil,BRA,2011,2700540
Burundi,BDI,2011,41960
Cambodia,KHM,2011,348.8
Cameroon,CMR,2011,26322
Cape Verde,CPV,2011,62
Caribbean (FAO),,2011,68384.36
Central African Republic,CAF,2011,6217.62
Central America (FAO),,2011,1077735.9
China,CHN,2011,65384
China (FAO),,2011,65384
Colombia,COL,2011,468540
Comoros,COM,2011,127.35
Congo,COG,2011,2900.7
Cook Islands,COK,2011,0.33
Costa Rica,CRI,2011,95038
Cote d'Ivoire,CIV,2011,32291
Cuba,CUB,2011,10150
Democratic Republic of Congo,COD,2011,31810
Dominica,DMA,2011,498
Dominican Republic,DOM,2011,22679.85
East Timor,TLS,2011,8320
Eastern Africa (FAO),,2011,797150
Eastern Asia (FAO),,2011,65384
Ecuador,ECU,2011,23829
El Salvador,SLV,2011,82095
Equatorial Guinea,GNQ,2011,4342.63
Ethiopia,ETH,2011,376823
Fiji,FJI,2011,16.47
French Polynesia,PYF,2011,20
Gabon,GAB,2011,118.56
Ghana,GHA,2011,550
Guatemala,GTM,2011,265401.44
Guinea,GIN,2011,30320
Guyana,GUY,2011,420
Haiti,HTI,2011,20958
High-income countries,,2011,114580.6
Honduras,HND,2011,284347
India,IND,2011,302000
Indonesia,IDN,2011,638600
Jamaica,JAM,2011,8099
Kenya,KEN,2011,36300
Land Locked Developing Countries (FAO),,2011,730245.6
Laos,LAO,2011,52010
Least Developed Countries (FAO),,2011,991433.1
Liberia,LBR,2011,649.83
Low Income Food Deficit Countries (FAO),,2011,1075786.5
Low-income countries,,2011,793389.2
Lower-middle-income countries,,2011,2472534.8
Madagascar,MDG,2011,55698.04
Malawi,MWI,2011,4015
Malaysia,MYS,2011,15064
Melanesia,OWID_MNS,2011,84920.94
Mexico,MEX,2011,237056
Middle Africa (FAO),,2011,81909.12
Mozambique,MOZ,2011,800
Myanmar,MMR,2011,7600
Nepal,NPL,2011,402
Net Food Importing Developing Countries (FAO),,2011,1877275.1
New Caledonia,NCL,2011,19
Nicaragua,NIC,2011,103881.73
Nigeria,NGA,2011,2524.57
North America,,2011,1149567.2
Northern America (FAO),,2011,3447
Oceania,,2011,84967.29
Oceania (FAO),,2011,84967.29
Panama,PAN,2011,9826
Papua New Guinea,PNG,2011,84870
Paraguay,PRY,2011,370
Peru,PER,2011,331547
Philippines,PHL,2011,88526
Polynesia,OWID_PYA,2011,46.35
Puerto Rico,PRI,2011,5737.88
Rwanda,RWA,2011,21820.4
Saint Vincent and the Grenadines,VCT,2011,188.91
Samoa,WSM,2011,10
Sao Tome and Principe,STP,2011,5.6
Sierra Leone,SLE,2011,30449.28
Small Island Developing States (FAO),,2011,162382.88
South America,,2011,3624957
South America (FAO),,2011,3624957
South-eastern Asia (FAO),,2011,2129368.8
Southern Asia (FAO),,2011,307722
Sri Lanka,LKA,2011,5320
Suriname,SUR,2011,5.61
Taiwan,TWN,2011,0
Tanzania,TZA,2011,60575
Thailand,THA,2011,42394
Togo,TGO,2011,12500
Tonga,TON,2011,16.02
Trinidad and Tobago,TTO,2011,72.72
Uganda,UGA,2011,191371
United States,USA,2011,3447
Upper-middle-income countries,,2011,4989207
Vanuatu,VUT,2011,15.47
Venezuela,VEN,2011,72109
Vietnam,VNM,2011,1276506
Western Africa (FAO),,2011,109411.68
Western Asia (FAO),,2011,19275
World,OWID_WRL,2011,8369712
Yemen,YEM,2011,19275
Zambia,ZMB,2011,7120.19
Zimbabwe,ZWE,2011,540
Africa,,2012,976187.06
Africa (FAO),,2012,976187.06
Americas (FAO),,2012,5154999.5
Angola,AGO,2012,11740.03
Asia,,2012,2623674
Asia (FAO),,2012,2623674
Belize,BLZ,2012,88.98
Benin,BEN,2012,68
Bolivia,BOL,2012,28136.86
Brazil,BRA,2012,3037534
Burundi,BDI,2012,26340
Cambodia,KHM,2012,350.04
Cameroon,CMR,2012,38127
Cape Verde,CPV,2012,88
Caribbean (FAO),,2012,68537.58
Central African Republic,CAF,2012,6922.63
Central America (FAO),,2012,1166399.8
China,CHN,2012,92064
China (FAO),,2012,92064
Colombia,COL,2012,462000
Comoros,COM,2012,130
Congo,COG,2012,2934.58
Cook Islands,COK,2012,0.32
Costa Rica,CRI,2012,117873
Cote d'Ivoire,CIV,2012,121426
Cuba,CUB,2012,7560
Democratic Republic of Congo,COD,2012,31561.74
Dominica,DMA,2012,370.81
Dominican Republic,DOM,2012,27009
East Timor,TLS,2012,3660
Eastern Africa (FAO),,2012,691184.06
Eastern Asia (FAO),,2012,92064
Ecuador,ECU,2012,7340.03
El Salvador,SLV,2012,89489
Equatorial Guinea,GNQ,2012,4594.72
Ethiopia,ETH,2012,275530
Fiji,FJI,2012,17.83
French Polynesia,PYF,2012,20
Gabon,GAB,2012,117.01
Ghana,GHA,2012,600
Guatemala,GTM,2012,272432
Guinea,GIN,2012,17907
Guyana,GUY,2012,420
Haiti,HTI,2012,20930
High-income countries,,2012,137353.78
Honduras,HND,2012,343403
India,IND,2012,314000
Indonesia,IDN,2012,691163
Jamaica,JAM,2012,6687
Kenya,KEN,2012,49000
Land Locked Developing Countries (FAO),,2012,644770.9
Laos,LAO,2012,87330
Least Developed Countries (FAO),,2012,896865.9
Liberia,LBR,2012,650.19
Low Income Food Deficit Countries (FAO),,2012,955958.75
Low-income countries,,2012,672743.25
Lower-middle-income countries,,2012,2610252.2
Madagascar,MDG,2012,53363.68
Malawi,MWI,2012,5684
Malaysia,MYS,2012,10427
Melanesia,OWID_MNS,2012,43659.29
Mexico,MEX,2012,246121
Middle Africa (FAO),,2012,96003.91
Mozambique,MOZ,2012,900
Myanmar,MMR,2012,8000
Nepal,NPL,2012,425
Net Food Importing Developing Countries (FAO),,2012,1928815.8
New Caledonia,NCL,2012,6
Nicaragua,NIC,2012,86943.73
Nigeria,NGA,2012,2416.92
North America,,2012,1238112.2
Northern America (FAO),,2012,3175
Oceania,,2012,43706.34
Oceania (FAO),,2012,43706.34
Panama,PAN,2012,10049
Papua New Guinea,PNG,2012,43620
Paraguay,PRY,2012,370
Peru,PER,2012,320163.56
Philippines,PHL,2012,88943
Polynesia,OWID_PYA,2012,47.05
Puerto Rico,PRI,2012,5760
Rwanda,RWA,2012,19995
Saint Vincent and the Grenadines,VCT,2012,170
Samoa,WSM,2012,11
Sao Tome and Principe,STP,2012,6.2
Sierra Leone,SLE,2012,35000
Small Island Developing States (FAO),,2012,116643.07
South America,,2012,3916887.5
South America (FAO),,2012,3916887.5
South-eastern Asia (FAO),,2012,2191797
Southern Asia (FAO),,2012,319985
Sri Lanka,LKA,2012,5560
Suriname,SUR,2012,5.97
Taiwan,TWN,2012,0
Tanzania,TZA,2012,66204
Thailand,THA,2012,41461
Togo,TGO,2012,10843
Tonga,TON,2012,15.73
Trinidad and Tobago,TTO,2012,50.78
Uganda,UGA,2012,186125
United States,USA,2012,3175
Upper-middle-income countries,,2012,5378217.5
Vanuatu,VUT,2012,15.46
Venezuela,VEN,2012,60917
Vietnam,VNM,2012,1260463
Western Africa (FAO),,2012,188999.11
Western Asia (FAO),,2012,19828
World,OWID_WRL,2012,8798567
Yemen,YEM,2012,19828
Zambia,ZMB,2012,7372.36
Zimbabwe,ZWE,2012,540
Africa,,2013,1105640.9
Africa (FAO),,2013,1105640.8
Americas (FAO),,2013,4984020
Angola,AGO,2013,12550
Asia,,2013,2699674
Asia (FAO),,2013,2699674
Belize,BLZ,2013,87.27
Benin,BEN,2013,70
Bolivia,BOL,2013,29455.13
Brazil,BRA,2013,2964538
Burundi,BDI,2013,22625
Cambodia,KHM,2013,353.12
Cameroon,CMR,2013,41800
Cape Verde,CPV,2013,62
Caribbean (FAO),,2013,50277.82
Central African Republic,CAF,2013,7974.68
Central America (FAO),,2013,956535.6
China,CHN,2013,116826
China (FAO),,2013,116826
Colombia,COL,2013,653160
Comoros,COM,2013,132
Congo,COG,2013,2987.03
Cook Islands,COK,2013,0.3
Costa Rica,CRI,2013,71381
Cote d'Ivoire,CIV,2013,103743
Cuba,CUB,2013,8944
Democratic Republic of Congo,COD,2013,29700.71
Dominica,DMA,2013,370.55
Dominican Republic,DOM,2013,18552.12
East Timor,TLS,2013,4800
Eastern Africa (FAO),,2013,833408.56
Eastern Asia (FAO),,2013,116826
Ecuador,ECU,2013,7760
El Salvador,SLV,2013,32864
Equatorial Guinea,GNQ,2013,4401.74
Ethiopia,ETH,2013,392006
Fiji,FJI,2013,20
French Polynesia,PYF,2013,22
Gabon,GAB,2013,114.28
Ghana,GHA,2013,698
Guatemala,GTM,2013,248668
Guinea,GIN,2013,18440
Guyana,GUY,2013,420
Haiti,HTI,2013,10320
High-income countries,,2013,87033.15
Honduras,HND,2013,280697
India,IND,2013,318200
Indonesia,IDN,2013,675800
Jamaica,JAM,2013,6984
Kenya,KEN,2013,39800
Land Locked Developing Countries (FAO),,2013,799971.8
Laos,LAO,2013,92045
Least Developed Countries (FAO),,2013,1045139
Liberia,LBR,2013,636.92
Low Income Food Deficit Countries (FAO),,2013,1089373
Low-income countries,,2013,819343.9
Lower-middle-income countries,,2013,2590773.2
Madagascar,MDG,2013,51627.54
Malawi,MWI,2013,5699
Malaysia,MYS,2013,14739
Melanesia,OWID_MNS,2013,49722.64
Mexico,MEX,2013,231596
Middle Africa (FAO),,2013,99532.34
Mozambique,MOZ,2013,900
Myanmar,MMR,2013,8100
Nepal,NPL,2013,366
Net Food Importing Developing Countries (FAO),,2013,1861340.6
New Caledonia,NCL,2013,7
Nicaragua,NIC,2013,84146.33
Nigeria,NGA,2013,2100
North America,,2013,1009988.44
Northern America (FAO),,2013,3175
Oceania,,2013,49770.94
Oceania (FAO),,2013,49770.94
Panama,PAN,2013,7096
Papua New Guinea,PNG,2013,49680
Paraguay,PRY,2013,382
Peru,PER,2013,256241.44
Philippines,PHL,2013,78634
Polynesia,OWID_PYA,2013,48.3
Puerto Rico,PRI,2013,4880.9
Rwanda,RWA,2013,18346
Saint Vincent and the Grenadines,VCT,2013,175
Samoa,WSM,2013,11
Sao Tome and Principe,STP,2013,3.9
Sierra Leone,SLE,2013,36000
Small Island Developing States (FAO),,2013,105559.9
South America,,2013,3974031.5
South America (FAO),,2013,3974031.5
South-eastern Asia (FAO),,2013,2238728
Southern Asia (FAO),,2013,324136
Sri Lanka,LKA,2013,5570
Suriname,SUR,2013,5.97
Taiwan,TWN,2013,0
Tanzania,TZA,2013,71200
Thailand,THA,2013,37569
Togo,TGO,2013,10950
Tonga,TON,2013,15
Trinidad and Tobago,TTO,2013,51.25
Uganda,UGA,2013,222894
United States,USA,2013,3175
Upper-middle-income countries,,2013,5341955.5
Vanuatu,VUT,2013,15.64
Venezuela,VEN,2013,62069
Vietnam,VNM,2013,1326688
Western Africa (FAO),,2013,172699.92
Western Asia (FAO),,2013,19984
World,OWID_WRL,2013,8839106
Yemen,YEM,2013,19984
Zambia,ZMB,2013,7415.12
Zimbabwe,ZWE,2013,763.9
Africa,,2014,1087781.9
Africa (FAO),,2014,1087781.8
Americas (FAO),,2014,4829105.5
Angola,AGO,2014,15009
Asia,,2014,2759619.5
Asia (FAO),,2014,2759619.5
Belize,BLZ,2014,87.54
Benin,BEN,2014,57.3
Bolivia,BOL,2014,20496
Brazil,BRA,2014,2804070
Burundi,BDI,2014,10405
Cambodia,KHM,2014,356.58
Cameroon,CMR,2014,38081.87
Cape Verde,CPV,2014,52
Caribbean (FAO),,2014,36587.45
Central African Republic,CAF,2014,10799
Central America (FAO),,2014,956115.56
China,CHN,2014,127585.93
China (FAO),,2014,127585.93
Colombia,COL,2014,728400
Comoros,COM,2014,133.48
Congo,COG,2014,3005.38
Cook Islands,COK,2014,0.3
Costa Rica,CRI,2014,96735
Cote d'Ivoire,CIV,2014,109913.47
Cuba,CUB,2014,9203.03
Democratic Republic of Congo,COD,2014,28233
Dominica,DMA,2014,370.3
Dominican Republic,DOM,2014,13213.28
East Timor,TLS,2014,6660
Eastern Africa (FAO),,2014,830725.8
Eastern Asia (FAO),,2014,127585.93
Ecuador,ECU,2014,4224.53
El Salvador,SLV,2014,41965
Equatorial Guinea,GNQ,2014,4385.48
Ethiopia,ETH,2014,419980
Fiji,FJI,2014,21.14
French Polynesia,PYF,2014,20
Gabon,GAB,2014,109.37
Ghana,GHA,2014,736
Guatemala,GTM,2014,227653.47
Guinea,GIN,2014,25787.18
Guyana,GUY,2014,420
Haiti,HTI,2014,3600
High-income countries,,2014,112263.56
Honduras,HND,2014,282230
India,IND,2014,304500
Indonesia,IDN,2014,643900
Jamaica,JAM,2014,5298
Kenya,KEN,2014,49500
Land Locked Developing Countries (FAO),,2014,827761.44
Laos,LAO,2014,113580
Least Developed Countries (FAO),,2014,1032261.6
Liberia,LBR,2014,650.74
Low Income Food Deficit Countries (FAO),,2014,1058218.5
Low-income countries,,2014,801693.7
Lower-middle-income countries,,2014,2672863
Madagascar,MDG,2014,49223
Malawi,MWI,2014,6757
Malaysia,MYS,2014,8186
Melanesia,OWID_MNS,2014,56934.81
Mexico,MEX,2014,214667
Middle Africa (FAO),,2014,99631.12
Mozambique,MOZ,2014,816.94
Myanmar,MMR,2014,8400
Nepal,NPL,2014,430
Net Food Importing Developing Countries (FAO),,2014,1825137.6
New Caledonia,NCL,2014,5
Nicaragua,NIC,2014,86089.58
Nigeria,NGA,2014,1972.17
North America,,2014,996373.06
Northern America (FAO),,2014,3670
Oceania,,2014,56981.18
Oceania (FAO),,2014,56981.19
Panama,PAN,2014,6688
Papua New Guinea,PNG,2014,56893.36
Paraguay,PRY,2014,386
Peru,PER,2014,222047
Philippines,PHL,2014,75454
Polynesia,OWID_PYA,2014,46.38
Puerto Rico,PRI,2014,4674.4
Rwanda,RWA,2014,16379
Saint Vincent and the Grenadines,VCT,2014,177.28
Samoa,WSM,2014,11.22
Sao Tome and Principe,STP,2014,8.03
Sierra Leone,SLE,2014,2756
Small Island Developing States (FAO),,2014,100935.55
South America,,2014,3832732.5
South America (FAO),,2014,3832732.5
South-eastern Asia (FAO),,2014,2300955.5
Southern Asia (FAO),,2014,311019
Sri Lanka,LKA,2014,6089
Suriname,SUR,2014,5.87
Taiwan,TWN,2014,0
Tanzania,TZA,2014,48982
Thailand,THA,2014,37950
Togo,TGO,2014,15500
Tonga,TON,2014,14.86
Trinidad and Tobago,TTO,2014,51.16
Uganda,UGA,2014,220135
United States,USA,2014,3670
Upper-middle-income countries,,2014,5146667.5
Vanuatu,VUT,2014,15.3
Venezuela,VEN,2014,52683
Vietnam,VNM,2014,1406469
Western Africa (FAO),,2014,157424.86
Western Asia (FAO),,2014,20059
World,OWID_WRL,2014,8733488
Yemen,YEM,2014,20059
Zambia,ZMB,2014,7564.41
Zimbabwe,ZWE,2014,850
Africa,,2015,1154922.2
